SkillScenario,TargetStrategies,TargetLanguage,Example Dialogue
Coach employee to be on time for meetings,"Address it early and privately (don’t let it linger).

Be factual, not emotional (state what you observed).

Explain impact (on the team, workflow, credibility).

Invite their perspective (listen before judging).

Clarify expectations (what “on time” means).

Collaborate on solutions (remove barriers).

Confirm commitment (clear next steps).

Follow up (signal accountability, not punishment).","“I'd like to talk briefly about meeting start times.”

“I’ve noticed you’ve arrived a few minutes late to several meetings.”

“I want to share this early so it doesn’t become a bigger issue.”

“When meetings start late, it affects the whole team.”

“I’d like to understand what’s going on from your side.”

“Is there something getting in the way of being on time?”

“This isn’t about blame—it’s about alignment.”

“Being on time is important for team trust and momentum.”

“Our expectation is that meetings start on time.”

“On time means logged in and ready, not just joining.”

“Let’s figure out a solution that works for you.”

“What would help you arrive a few minutes earlier?”

“Does adjusting your calendar help?”

“Can we agree on this going forward?”

“I appreciate your openness.”

“Let’s reset expectations starting this week.”

“I’ll check back in after the next few meetings.”

“Thanks for taking this seriously.”

“I know you want to set a good example.”

“Let’s stay aligned on this.”","Manager:
“Thanks for meeting with me. I wanted to talk briefly about meeting start times.”

“I’ve noticed you’ve arrived a few minutes late to several meetings over the past couple of weeks.”

“When meetings start late, it disrupts the flow and affects the rest of the team.”

“I want to understand what’s been happening from your side.”

Employee:
“I’ve had back-to-back meetings, and sometimes they run over.”

Manager:
“Thanks for explaining. I understand how that can happen.”

“At the same time, being on time is important for the team and for how we work together.”

“Our expectation is that meetings start on time, with everyone ready to participate.”

“Going forward, what can you do to help make that happen?”

Employee:
“I can block a few minutes between meetings.”

Manager:
“That sounds like a good solution.”

“Let’s agree to start meetings on time from now on.”

“I appreciate you taking this seriously.”

“I’ll check back in after the next few meetings.”

“I’ve noticed you’ve arrived a few minutes late to several meetings over the past couple of weeks.”

“When meetings start late, it disrupts the flow and affects the rest of the team.”

“I want to understand what’s been happening from your side.”

Employee:
“I’ve had back-to-back meetings, and sometimes they run over.”

Manager:
“Thanks for explaining. I understand how that can happen.”

“At the same time, being on time is important for the team and for how we work together.”

“Our expectation is that meetings start on time, with everyone ready to participate.”

“Going forward, what can you do to help make that happen?”

Employee:
“I can block a few minutes between meetings.”

Manager:
“That sounds like a good solution.”

“Let’s agree to start meetings on time from now on.”

“I appreciate you taking this seriously.”

“I’ll check back in after the next few meetings.”"
Coach employee to listen more ,,,
Manage employee to delegate tasks ,,,
Coach employee to engage more ,,,
Influence employee to be more motivated when working remotely,,,
Manage employee's stress levels ,,,
Coach employee to listen and not interrupt,,,
Mentor employee who has upset a client,,,
Tell employee that change is coming,,,
Manage employee to follow up with clients,,,
Coach employee to accept your authority ,,,
Mentor employee to not make fun of co-workers,,,
Influence employee to accept other people's ideas ,,,
Manage employee to follow health and safety rules ,,,
Coach employee to attend scheduled training sessions,,,
Tell employee they're not getting the pay raise they thought they were getting,,,
Empower employee to see the benefits of being coached ,,,
Coach employee to practice more flexibility,,,
Coach employee to collaborate remotely,,,
Communicate expectations to your employees,,,
Assign a project,,,
Assign tasks,,,
Persuade boss of your idea,,,
Communicate bad news to an executive team member,,,
Let your employee go,,,
Coach your employee to prioritize tasks ,,,
Coach your employee to show more empathy to co-workers,,,
Coach your employee to multi-task,,,
Coach your employee to be less critical,,,
Use DISC to approach your employees,,,
Coach your employee to change behavior,,,
Coach your employee to follow instructions,,,
Coach manager to stop taking frustration out on trainee,,,
Coach your employee to run effective meetings ,,,
Give a presentation ,,,
Lead a decision-making meeting ,,,
Lead a problem-solving meeting,,,
Give positive feedback on performance,,,
Give credit to your employee for work well done in front of others,,,
Give credit to your employee for work well done in private conversation,,,
Inform your employee they've used all their sick days up,,,
Coach employee who is bullying a co-worker,,,
Thank employee for taking on more responsibility,,,
Thank employee for finding a solution,,,
Acknowledge employee for showing compassion ,,,
Acknowledge employee for the effort they have made,,,
Thank employee for achieving their monthly goals,,,
Acknowledge employee for their positive attitude ,,,
Acknowledge employee for their loyalty to the company,,,
Acknowledge employee for their work ethic ,,,
Acknowledge employee for their insights ,,,
Acknowledge employee for their involvement,,,
Acknowledge employee for taking accountability ,,,
Show appreciation to employee for working overtime,,,