ID,SkillScenario,TargetStrategies,TargetLanguage,Example Dialogue
1,Coach employee to be on time for meetings,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
2,Coach employee to listen more ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
3,Manage employee to delegate tasks ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
4,Coach employee to engage more ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
5,Influence employee to be more motivated when working remotely,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
6,Manage employee's stress levels ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
7,Coach employee to listen and not interrupt,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
8,Mentor employee who has upset a client,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
9,Tell employee that change is coming,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
10,Manage employee to follow up with clients,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
11,Coach employee to accept your authority ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
12,Mentor employee to not make fun of co-workers,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
13,Influence employee to accept other people's ideas ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
14,Manage employee to follow health and safety rules ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
15,Coach employee to attend scheduled training sessions,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
16,Tell employee they're not getting the pay raise they thought they were getting,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
17,Empower employee to see the benefits of being coached ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
18,Coach employee to practice more flexibility,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
19,Coach employee to collaborate remotely,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
20,Communicate expectations to your employees,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
21,Assign a project,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
22,Assign tasks,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
23,Persuade boss of your idea,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
24,Communicate bad news to an executive team member,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
25,Let your employee go,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
26,Coach your employee to prioritize tasks ,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
27,Coach your employee to show more empathy to co-workers,"Set clear expectations
Describe observed behavior
Explain impact
Ask for perspective
Agree on next steps
Confirm accountability","I want to talk about something I’ve noticed recently.
Here’s a specific example so we’re aligned.
My intention is to help you succeed.
Can you walk me through your perspective?
What’s making this challenging right now?
Here’s why this matters to the team and our goals.
What support would help you improve here?
Let’s agree on a clear next step.
What will you do differently going forward?
I appreciate your openness and effort.","Manager: Thanks for meeting with me.
Employee: Sure.
Manager: I want to talk about a pattern I’ve noticed.
Employee: Okay.
Manager: I’ve seen this behavior happening recently.
Employee: I didn’t realize that.
Manager: It impacts the team in this way.
Employee: I understand.
Manager: What’s your perspective?
Employee: Here’s what’s been going on.
Manager: Let’s agree on a clear next step.
Employee: That sounds fair."
